,entrez_id,refseq_ids,official_symbol,official_full_name,taxname
2152,2693,"['NM_004122', 'NM_198407']",GHSR,growth hormone secretagogue receptor,Homo sapiens
2153,9360,['NM_004792'],PPIG,peptidylprolyl isomerase G,Homo sapiens
2154,1910,"['NM_000115', 'NM_001122659', 'NM_001201397', 'NM_003991']",EDNRB,endothelin receptor type B,Homo sapiens
2155,152007,"['NM_001287010', 'NM_001287011', 'NM_001287012', 'NM_001287013', 'NM_001287014', 'NM_022343']",GLIPR2,GLI pathogenesis related 2,Homo sapiens
2156,5021,"['NM_000916', 'NM_001354653', 'NM_001354654', 'NM_001354655', 'NM_001354656']",OXTR,oxytocin receptor,Homo sapiens
2157,51228,['NM_016433'],GLTP,glycolipid transfer protein,Homo sapiens
2158,262,"['NM_001287214', 'NM_001287215', 'NM_001287216', 'NM_001393406', 'NM_001393407', 'NM_001393408', 'NM_001634']",AMD1,adenosylmethionine decarboxylase 1,Homo sapiens
2159,3351,['NM_000863'],HTR1B,5-hydroxytryptamine receptor 1B,Homo sapiens
2160,3350,['NM_000524'],HTR1A,5-hydroxytryptamine receptor 1A,Homo sapiens
2161,3352,['NM_000864'],HTR1D,5-hydroxytryptamine receptor 1D,Homo sapiens
2162,23632,['NM_012113'],CA14,carbonic anhydrase 14,Homo sapiens
2163,6327,['NM_004588'],SCN2B,sodium voltage-gated channel beta subunit 2,Homo sapiens
2164,3362,['NM_000871'],HTR6,5-hydroxytryptamine receptor 6,Homo sapiens
2165,8972,"['NM_001365693', 'NM_004668']",MGAM,maltase-glucoamylase,Homo sapiens
2166,4158,"['NM_000529', 'NM_001291911']",MC2R,melanocortin 2 receptor,Homo sapiens
2167,60490,"['NM_001301101', 'NM_001301102', 'NM_001301103', 'NM_001301104', 'NM_001301105', 'NM_021823']",PPCDC,phosphopantothenoylcysteine decarboxylase,Homo sapiens
2168,23173,['NM_015143'],METAP1,methionyl aminopeptidase 1,Homo sapiens
2169,4502,['NM_005953'],MT2A,metallothionein 2A,Homo sapiens
2170,131,"['NM_000673', 'NM_001166504']",ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",Homo sapiens
2171,10544,['NM_006404'],PROCR,protein C receptor,Homo sapiens
2172,1608,"['NM_001080744', 'NM_001080745', 'NM_001346']",DGKG,diacylglycerol kinase gamma,Homo sapiens
2173,81034,['NM_030780'],SLC25A32,solute carrier family 25 member 32,Homo sapiens
2174,8527,"['NM_001377259', 'NM_003648', 'NM_152879']",DGKD,diacylglycerol kinase delta,Homo sapiens
2175,762,['NM_000717'],CA4,carbonic anhydrase 4,Homo sapiens
2176,116444,['NM_138690'],GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,Homo sapiens
2177,56606,"['NM_001001290', 'NM_020041']",SLC2A9,solute carrier family 2 member 9,Homo sapiens
2178,9415,"['NM_001281501', 'NM_001281502', 'NM_004265']",FADS2,fatty acid desaturase 2,Homo sapiens
2179,56479,"['NM_001160130', 'NM_001160132', 'NM_001160133', 'NM_001160134', 'NM_019842']",KCNQ5,potassium voltage-gated channel subfamily Q member 5,Homo sapiens
2180,3816,['NM_002257'],KLK1,kallikrein 1,Homo sapiens
2181,337,['NM_000482'],APOA4,apolipoprotein A4,Homo sapiens
2182,251,['NM_031313'],ALPG,"alkaline phosphatase, germ cell",Homo sapiens
2183,759,"['NM_001128829', 'NM_001128830', 'NM_001128831', 'NM_001164830', 'NM_001291967', 'NM_001291968', 'NM_001738']",CA1,carbonic anhydrase 1,Homo sapiens
2184,307,"['NM_001153', 'NM_001320698', 'NM_001320700', 'NM_001320702', 'NM_001365496']",ANXA4,annexin A4,Homo sapiens
2185,57153,"['NM_001145056', 'NM_001363611', 'NM_020428']",SLC44A2,solute carrier family 44 member 2,Homo sapiens
2186,2978,['NM_001384910'],GUCA1A,guanylate cyclase activator 1A,Homo sapiens
2187,11136,"['NM_001126335', 'NM_001243036', 'NM_014270']",SLC7A9,solute carrier family 7 member 9,Homo sapiens
2188,6581,['NM_021977'],SLC22A3,solute carrier family 22 member 3,Homo sapiens
2189,3818,"['NM_000892', 'NM_001318394', 'NM_001318396']",KLKB1,kallikrein B1,Homo sapiens
2190,1463,['NM_004386'],NCAN,neurocan,Homo sapiens
2191,733,['NM_000606'],C8G,complement C8 gamma chain,Homo sapiens
2192,206358,"['NM_001308150', 'NM_001308151', 'NM_001349740', 'NM_078483']",SLC36A1,solute carrier family 36 member 1,Homo sapiens
2193,222236,"['NM_001122838', 'NM_001386176', 'NM_001386177', 'NM_001386179', 'NM_001386182', 'NM_001386185', 'NM_001386189', 'NM_001386190', 'NM_001386191', 'NM_001386193', 'NM_001386194', 'NM_001386204', 'NM_001386205', 'NM_001386207', 'NM_001386208', 'NM_001386209', 'NM_001386210', 'NM_001386211', 'NM_001386212', 'NM_001386213', 'NM_198990']",NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,Homo sapiens
2194,2558,"['NM_000810', 'NM_001165037']",GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,Homo sapiens
2195,80834,['NM_152232'],TAS1R2,taste 1 receptor member 2,Homo sapiens
2196,83756,['NM_152228'],TAS1R3,taste 1 receptor member 3,Homo sapiens
2197,820,['NM_004345'],CAMP,cathelicidin antimicrobial peptide,Homo sapiens
2198,4482,"['NM_001135670', 'NM_001135671', 'NM_001199729', 'NM_012331']",MSRA,methionine sulfoxide reductase A,Homo sapiens
2199,64241,"['NM_001357321', 'NM_022437']",ABCG8,ATP binding cassette subfamily G member 8,Homo sapiens
2200,6898,['NM_000353'],TAT,tyrosine aminotransferase,Homo sapiens
2201,2357,"['NM_001193306', 'NM_002029']",FPR1,formyl peptide receptor 1,Homo sapiens
2202,6282,['NM_005620'],S100A11,S100 calcium binding protein A11,Homo sapiens
2203,246,['NM_001140'],ALOX15,arachidonate 15-lipoxygenase,Homo sapiens
2204,5805,['NM_000317'],PTS,6-pyruvoyltetrahydropterin synthase,Homo sapiens
2205,8792,"['NM_001270949', 'NM_001270950', 'NM_001270951', 'NM_001278268', 'NM_003839']",TNFRSF11A,TNF receptor superfamily member 11a,Homo sapiens
2206,54210,"['NM_001242589', 'NM_001242590', 'NM_018643']",TREM1,triggering receptor expressed on myeloid cells 1,Homo sapiens
2207,7378,"['NM_001287426', 'NM_001287428', 'NM_001287429', 'NM_001287430', 'NM_001362774', 'NM_003364']",UPP1,uridine phosphorylase 1,Homo sapiens
2208,482,"['NM_001303263', 'NM_001678']",ATP1B2,ATPase Na+/K+ transporting subunit beta 2,Homo sapiens
2209,5095,"['NM_000282', 'NM_001127692', 'NM_001178004', 'NM_001352605', 'NM_001352606', 'NM_001352607', 'NM_001352608', 'NM_001352609', 'NM_001352610', 'NM_001352611', 'NM_001352612']",PCCA,propionyl-CoA carboxylase subunit alpha,Homo sapiens
2210,2348,"['NM_000802', 'NM_016724', 'NM_016725', 'NM_016729']",FOLR1,folate receptor alpha,Homo sapiens
2211,218,"['NM_000691', 'NM_001135167', 'NM_001135168', 'NM_001330150']",ALDH3A1,aldehyde dehydrogenase 3 family member A1,Homo sapiens
2212,85413,['NM_033125'],SLC22A16,solute carrier family 22 member 16,Homo sapiens
2213,3744,['NM_005549'],KCNA10,potassium voltage-gated channel subfamily A member 10,Homo sapiens
2214,126969,"['NM_001114106', 'NM_001258340', 'NM_001258341', 'NM_001258342', 'NM_001258343', 'NM_001301079', 'NM_001350223', 'NM_152369']",SLC44A3,solute carrier family 44 member 3,Homo sapiens
2215,55683,"['NM_001115016', 'NM_001349256', 'NM_001349257', 'NM_001349258', 'NM_001349259', 'NM_001349260', 'NM_001349261', 'NM_001349262']",KANSL3,KAT8 regulatory NSL complex subunit 3,Homo sapiens
2216,64100,['NM_022142'],ELSPBP1,epididymal sperm binding protein 1,Homo sapiens
2217,8911,"['NM_001003406', 'NM_021096']",CACNA1I,calcium voltage-gated channel subunit alpha1 I,Homo sapiens
2218,3514,[],IGKC,immunoglobulin kappa constant,Homo sapiens
2219,7201,['NM_003301'],TRHR,thyrotropin releasing hormone receptor,Homo sapiens
2220,344,['NM_000483'],APOC2,apolipoprotein C2,Homo sapiens
2221,7364,"['NM_001074', 'NM_001330719', 'NM_001349568']",UGT2B7,UDP glucuronosyltransferase family 2 member B7,Homo sapiens
2222,2747,['NM_012084'],GLUD2,glutamate dehydrogenase 2,Homo sapiens
2223,6403,['NM_003005'],SELP,selectin P,Homo sapiens
2224,54658,['NM_000463'],UGT1A1,UDP glucuronosyltransferase family 1 member A1,Homo sapiens
2225,2565,['NM_173536'],GABRG1,gamma-aminobutyric acid type A receptor subunit gamma1,Homo sapiens
2226,29988,"['NM_001271711', 'NM_001271712', 'NM_014580']",SLC2A8,solute carrier family 2 member 8,Homo sapiens
2227,6557,"['NM_000338', 'NM_001184832', 'NM_001384136']",SLC12A1,solute carrier family 12 member 1,Homo sapiens
2228,8884,['NM_021095'],SLC5A6,solute carrier family 5 member 6,Homo sapiens
2229,6614,"['NM_001367089', 'NM_023068']",SIGLEC1,sialic acid binding Ig like lectin 1,Homo sapiens
2230,1635,"['NM_001012732', 'NM_001351743', 'NM_001351744', 'NM_001351745', 'NM_001351747', 'NM_001351748', 'NM_001351750', 'NM_001351753', 'NM_001921']",DCTD,dCMP deaminase,Homo sapiens
2231,6916,"['NM_001061', 'NM_001130966', 'NM_001166253', 'NM_001166254', 'NM_001314028', 'NM_001366537', 'NM_001366538', 'NM_030984']",TBXAS1,thromboxane A synthase 1,Homo sapiens
2232,5652,['NM_002773'],PRSS8,serine protease 8,Homo sapiens
2233,4882,"['NM_001378923', 'NM_003995']",NPR2,natriuretic peptide receptor 2,Homo sapiens
2234,1606,"['NM_001345', 'NM_001351033', 'NM_001351034', 'NM_001351035', 'NM_001351036', 'NM_001351037', 'NM_001351038', 'NM_001351039', 'NM_001351040', 'NM_201444', 'NM_201445', 'NM_201554']",DGKA,diacylglycerol kinase alpha,Homo sapiens
2235,7442,"['NM_018727', 'NM_080704', 'NM_080705', 'NM_080706']",TRPV1,transient receptor potential cation channel subfamily V member 1,Homo sapiens
2236,6519,['NM_000341'],SLC3A1,solute carrier family 3 member 1,Homo sapiens
2237,55191,['NM_018161'],NADSYN1,NAD synthetase 1,Homo sapiens
2238,3483,"['NM_001146006', 'NM_004970']",IGFALS,insulin like growth factor binding protein acid labile subunit,Homo sapiens
2239,496,['NM_000705'],ATP4B,ATPase H+/K+ transporting subunit beta,Homo sapiens
2240,5535,['NM_147180'],PPP3R2,"protein phosphatase 3 regulatory subunit B, beta",Homo sapiens
2241,270,"['NM_000036', 'NM_001172626']",AMPD1,adenosine monophosphate deaminase 1,Homo sapiens
2242,27306,['NM_014485'],HPGDS,hematopoietic prostaglandin D synthase,Homo sapiens
2243,6036,['NM_002934'],RNASE2,ribonuclease A family member 2,Homo sapiens
2244,316,['NM_001159'],AOX1,aldehyde oxidase 1,Homo sapiens
2245,2570,['NM_002043'],GABRR2,gamma-aminobutyric acid type A receptor subunit rho2,Homo sapiens
2246,7941,"['NM_001168357', 'NM_005084']",PLA2G7,phospholipase A2 group VII,Homo sapiens
2247,3792,['NM_000420'],KEL,Kell metallo-endopeptidase (Kell blood group),Homo sapiens
2248,8424,"['NM_001376258', 'NM_001376259', 'NM_001376260', 'NM_001376261', 'NM_003986']",BBOX1,gamma-butyrobetaine hydroxylase 1,Homo sapiens
2249,9249,"['NM_001319225', 'NM_001324370', 'NM_004753']",DHRS3,dehydrogenase/reductase 3,Homo sapiens
2250,10257,"['NM_001105515', 'NM_001301829', 'NM_001301830', 'NM_005845']",ABCC4,ATP binding cassette subfamily C member 4,Homo sapiens
2251,8912,"['NM_001005407', 'NM_021098']",CACNA1H,calcium voltage-gated channel subunit alpha1 H,Homo sapiens
2252,283383,"['NM_001330497', 'NM_198827']",ADGRD1,adhesion G protein-coupled receptor D1,Homo sapiens
2253,66035,"['NM_001024938', 'NM_001024939', 'NM_001282864', 'NM_030807']",SLC2A11,solute carrier family 2 member 11,Homo sapiens
2254,3558,['NM_000586'],IL2,interleukin 2,Homo sapiens
2255,57412,['NM_020682'],AS3MT,arsenite methyltransferase,Homo sapiens
2256,79631,"['NM_001040610', 'NM_001322844', 'NM_001322845', 'NM_024580']",EFL1,elongation factor like GTPase 1,Homo sapiens
2257,11238,['NM_007220'],CA5B,carbonic anhydrase 5B,Homo sapiens
2258,8547,"['NM_003665', 'NM_173452']",FCN3,ficolin 3,Homo sapiens
2259,1381,['NM_004378'],CRABP1,cellular retinoic acid binding protein 1,Homo sapiens
2260,6331,"['NM_000335', 'NM_001099404', 'NM_001099405', 'NM_001160160', 'NM_001160161', 'NM_001354701', 'NM_198056']",SCN5A,sodium voltage-gated channel alpha subunit 5,Homo sapiens
2261,23420,['NM_014287'],NOMO1,NODAL modulator 1,Homo sapiens
2262,51702,['NM_016233'],PADI3,peptidyl arginine deiminase 3,Homo sapiens
2263,85320,"['NM_001370496', 'NM_001370497', 'NM_032583', 'NM_033151', 'NM_145186']",ABCC11,ATP binding cassette subfamily C member 11,Homo sapiens
2264,1066,"['NM_001025194', 'NM_001025195', 'NM_001266']",CES1,carboxylesterase 1,Homo sapiens
2265,4327,"['NM_001272101', 'NM_002429']",MMP19,matrix metallopeptidase 19,Homo sapiens
2266,5724,"['NM_000952', 'NM_001164721', 'NM_001164722', 'NM_001164723']",PTAFR,platelet activating factor receptor,Homo sapiens
2267,28755,[],TRAC,T cell receptor alpha constant,Homo sapiens
2268,28639,[],TRBC1,T cell receptor beta constant 1,Homo sapiens
2269,5446,['NM_000940'],PON3,paraoxonase 3,Homo sapiens
2270,55512,['NM_018667'],SMPD3,sphingomyelin phosphodiesterase 3,Homo sapiens
2271,55576,['NM_017564'],STAB2,stabilin 2,Homo sapiens
2272,554,"['NM_000054', 'NM_001146151']",AVPR2,arginine vasopressin receptor 2,Homo sapiens
2273,6713,['NM_003129'],SQLE,squalene epoxidase,Homo sapiens
2274,151531,"['NM_001135098', 'NM_173355']",UPP2,uridine phosphorylase 2,Homo sapiens
2275,1504,"['NM_001329190', 'NM_001906']",CTRB1,chymotrypsinogen B1,Homo sapiens
2276,57665,['NM_020905'],RDH14,retinol dehydrogenase 14,Homo sapiens
2277,3512,['NM_144646'],JCHAIN,joining chain of multimeric IgA and IgM,Homo sapiens
2278,79054,['NM_024080'],TRPM8,transient receptor potential cation channel subfamily M member 8,Homo sapiens
2279,1109,['NM_001818'],AKR1C4,aldo-keto reductase family 1 member C4,Homo sapiens
2280,8510,['NM_006983'],MMP23B,matrix metallopeptidase 23B,Homo sapiens
2281,2905,"['NM_000835', 'NM_001278553']",GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,Homo sapiens
2282,2977,"['NM_000855', 'NM_001256424']",GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2,Homo sapiens
2283,7130,['NM_007115'],TNFAIP6,TNF alpha induced protein 6,Homo sapiens
2284,2554,"['NM_000806', 'NM_001127643', 'NM_001127644', 'NM_001127645', 'NM_001127648']",GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,Homo sapiens
2285,4293,"['NM_001284230', 'NM_001284231', 'NM_001284232', 'NM_033141']",MAP3K9,mitogen-activated protein kinase kinase kinase 9,Homo sapiens
2286,27115,['NM_018945'],PDE7B,phosphodiesterase 7B,Homo sapiens
2287,3456,['NM_002176'],IFNB1,interferon beta 1,Homo sapiens
2288,6524,['NM_003041'],SLC5A2,solute carrier family 5 member 2,Homo sapiens
2289,725,"['NM_000716', 'NM_001017364', 'NM_001017365', 'NM_001017366', 'NM_001017367']",C4BPB,complement component 4 binding protein beta,Homo sapiens
2290,7498,['NM_000379'],XDH,xanthine dehydrogenase,Homo sapiens
2291,340665,['NM_183374'],CYP26C1,cytochrome P450 family 26 subfamily C member 1,Homo sapiens
2292,3758,"['NM_000220', 'NM_153764', 'NM_153765', 'NM_153766', 'NM_153767']",KCNJ1,potassium inwardly rectifying channel subfamily J member 1,Homo sapiens
2293,683,['NM_004334'],BST1,bone marrow stromal cell antigen 1,Homo sapiens
2294,9900,"['NM_001278719', 'NM_001328674', 'NM_001328675', 'NM_014849']",SV2A,synaptic vesicle glycoprotein 2A,Homo sapiens
2295,4583,['NM_002457'],MUC2,"mucin 2, oligomeric mucus/gel-forming",Homo sapiens
2296,134864,['NM_138327'],TAAR1,trace amine associated receptor 1,Homo sapiens
2297,8989,['NM_007332'],TRPA1,transient receptor potential cation channel subfamily A member 1,Homo sapiens
2298,10993,['NM_006843'],SDS,serine dehydratase,Homo sapiens
2299,2847,['NM_005297'],MCHR1,melanin concentrating hormone receptor 1,Homo sapiens
2300,8647,['NM_003742'],ABCB11,ATP binding cassette subfamily B member 11,Homo sapiens
2301,3062,"['NM_001384272', 'NM_001526']",HCRTR2,hypocretin receptor 2,Homo sapiens
2302,5406,['NM_000936'],PNLIP,pancreatic lipase,Homo sapiens
2303,6555,['NM_000452'],SLC10A2,solute carrier family 10 member 2,Homo sapiens
2304,23428,"['NM_001267036', 'NM_001267037', 'NM_012244', 'NM_182728']",SLC7A8,solute carrier family 7 member 8,Homo sapiens
2305,53919,"['NM_001145944', 'NM_001145945', 'NM_001145946', 'NM_017435']",SLCO1C1,solute carrier organic anion transporter family member 1C1,Homo sapiens
2306,3360,"['NM_000870', 'NM_001040169', 'NM_001040172', 'NM_001040173', 'NM_001286410', 'NM_199453']",HTR4,5-hydroxytryptamine receptor 4,Homo sapiens
2307,777,"['NM_000721', 'NM_001205293', 'NM_001205294']",CACNA1E,calcium voltage-gated channel subunit alpha1 E,Homo sapiens
2308,4324,['NM_002428'],MMP15,matrix metallopeptidase 15,Homo sapiens
2309,123096,"['NM_001039355', 'NM_001291813', 'NM_001291814', 'NM_001352820', 'NM_001352821', 'NM_001352822', 'NM_001352823', 'NM_152333']",SLC25A29,solute carrier family 25 member 29,Homo sapiens
2310,79676,"['NM_001304833', 'NM_001304834', 'NM_001304835', 'NM_001304836', 'NM_001304837', 'NM_001304838', 'NM_024623']",OGFOD2,2-oxoglutarate and iron dependent oxygenase domain containing 2,Homo sapiens
2311,8654,"['NM_001083', 'NM_033430', 'NM_033437']",PDE5A,phosphodiesterase 5A,Homo sapiens
2312,11182,"['NM_001145099', 'NM_017585']",SLC2A6,solute carrier family 2 member 6,Homo sapiens
2313,113675,"['NM_001304993', 'NM_138432']",SDSL,serine dehydratase like,Homo sapiens
2314,60482,"['NM_001305005', 'NM_001305006', 'NM_001305007', 'NM_021815']",SLC5A7,solute carrier family 5 member 7,Homo sapiens
2315,5334,['NM_006226'],PLCL1,phospholipase C like 1 (inactive),Homo sapiens
2316,8284,"['NM_001146705', 'NM_001146706', 'NM_004653']",KDM5D,lysine demethylase 5D,Homo sapiens
2317,81031,['NM_030777'],SLC2A10,solute carrier family 2 member 10,Homo sapiens
2318,5138,"['NM_001143839', 'NM_001146209', 'NM_001243784', 'NM_002599']",PDE2A,phosphodiesterase 2A,Homo sapiens
2319,10166,['NM_014252'],SLC25A15,solute carrier family 25 member 15,Homo sapiens
2320,9152,"['NM_001318369', 'NM_004211']",SLC6A5,solute carrier family 6 member 5,Homo sapiens
2321,5143,"['NM_000923', 'NM_001098818', 'NM_001098819', 'NM_001330172', 'NM_001369701']",PDE4C,phosphodiesterase 4C,Homo sapiens
2322,728635,[],DHRS4L1,dehydrogenase/reductase 4 like 1,Homo sapiens
2323,3712,"['NM_001159508', 'NM_001354597', 'NM_001354598', 'NM_001354599', 'NM_001354600', 'NM_001354601', 'NM_002225']",IVD,isovaleryl-CoA dehydrogenase,Homo sapiens
2324,3783,['NM_002250'],KCNN4,potassium calcium-activated channel subfamily N member 4,Homo sapiens
2325,162514,"['NM_001258205', 'NM_145068']",TRPV3,transient receptor potential cation channel subfamily V member 3,Homo sapiens
2326,3859,['NM_000223'],KRT12,keratin 12,Homo sapiens
2327,143903,"['NM_001258390', 'NM_001258391', 'NM_001318799', 'NM_178834']",LAYN,layilin,Homo sapiens
2328,2563,['NM_000815'],GABRD,gamma-aminobutyric acid type A receptor subunit delta,Homo sapiens
2329,1392,['NM_000756'],CRH,corticotropin releasing hormone,Homo sapiens
2330,4320,['NM_005940'],MMP11,matrix metallopeptidase 11,Homo sapiens
2331,7125,['NM_003279'],TNNC2,"troponin C2, fast skeletal type",Homo sapiens
2332,11251,['NM_004778'],PTGDR2,prostaglandin D2 receptor 2,Homo sapiens
2333,6529,"['NM_001348250', 'NM_001348251', 'NM_001348252', 'NM_001348253', 'NM_003042']",SLC6A1,solute carrier family 6 member 1,Homo sapiens
2334,1178,['NM_001828'],CLC,Charcot-Leyden crystal galectin,Homo sapiens
2335,553,['NM_000707'],AVPR1B,arginine vasopressin receptor 1B,Homo sapiens
2336,5167,['NM_006208'],ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,Homo sapiens
2337,9290,['NM_005683'],GPR55,G protein-coupled receptor 55,Homo sapiens
2338,3779,['NM_004137'],KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1,Homo sapiens
2339,84649,"['NM_001253891', 'NM_032564']",DGAT2,diacylglycerol O-acyltransferase 2,Homo sapiens
2340,3748,"['NM_001372305', 'NM_004977']",KCNC3,potassium voltage-gated channel subfamily C member 3,Homo sapiens
2341,761,['NM_005181'],CA3,carbonic anhydrase 3,Homo sapiens
2342,155,['NM_000025'],ADRB3,adrenoceptor beta 3,Homo sapiens
2343,54657,['NM_007120'],UGT1A4,UDP glucuronosyltransferase family 1 member A4,Homo sapiens
2344,5032,['NM_002566'],P2RY11,purinergic receptor P2Y11,Homo sapiens
2345,2852,"['NM_001039966', 'NM_001098201', 'NM_001505']",GPER1,G protein-coupled estrogen receptor 1,Homo sapiens
2346,160728,['NM_145913'],SLC5A8,solute carrier family 5 member 8,Homo sapiens
2347,26279,"['NM_001271814', 'NM_012400']",PLA2G2D,phospholipase A2 group IID,Homo sapiens
2348,10060,"['NM_001377273', 'NM_001377274', 'NM_005691', 'NM_020297']",ABCC9,ATP binding cassette subfamily C member 9,Homo sapiens
2349,387129,"['NM_001300933', 'NM_001300934', 'NM_001300935', 'NM_207172', 'NM_207173']",NPSR1,neuropeptide S receptor 1,Homo sapiens
2350,57468,"['NM_001134771', 'NM_020708']",SLC12A5,solute carrier family 12 member 5,Homo sapiens
2351,3503,[],IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker),Homo sapiens
2352,54578,"['NM_001072', 'NM_205862']",UGT1A6,UDP glucuronosyltransferase family 1 member A6,Homo sapiens
2353,635,['NM_001713'],BHMT,betaine--homocysteine S-methyltransferase,Homo sapiens
2354,29991,"['NM_001293189', 'NM_001293193', 'NM_014582']",OBP2A,odorant binding protein 2A,Homo sapiens
2355,79581,"['NM_001253815', 'NM_001253816', 'NM_001363118', 'NM_001363120', 'NM_001363121', 'NM_001363122', 'NM_024531']",SLC52A2,solute carrier family 52 member 2,Homo sapiens
2356,8973,"['NM_001199279', 'NM_004198']",CHRNA6,cholinergic receptor nicotinic alpha 6 subunit,Homo sapiens
2357,343641,"['NM_001254734', 'NM_198994']",TGM6,transglutaminase 6,Homo sapiens
2358,389434,"['NM_001164694', 'NM_001164695', 'NM_001318495', 'NM_203395']",IYD,iodotyrosine deiodinase,Homo sapiens
2359,5408,['NM_005396'],PNLIPRP2,pancreatic lipase related protein 2 (gene/pseudogene),Homo sapiens
2360,10841,"['NM_001320412', 'NM_006657', 'NM_206965']",FTCD,formimidoyltransferase cyclodeaminase,Homo sapiens
2361,27087,"['NM_001367973', 'NM_018644', 'NM_054025']",B3GAT1,"beta-1,3-glucuronyltransferase 1",Homo sapiens
2362,6334,"['NM_001177984', 'NM_001330260', 'NM_001369788', 'NM_014191']",SCN8A,sodium voltage-gated channel alpha subunit 8,Homo sapiens
2363,6336,"['NM_001293306', 'NM_001293307', 'NM_006514']",SCN10A,sodium voltage-gated channel alpha subunit 10,Homo sapiens
2364,671,['NM_001725'],BPI,bactericidal permeability increasing protein,Homo sapiens
2365,801,"['NM_001363669', 'NM_001363670', 'NM_006888']",CALM1,calmodulin 1,Homo sapiens
2366,6538,"['NM_001317406', 'NM_014229']",SLC6A11,solute carrier family 6 member 11,Homo sapiens
2367,6540,"['NM_001190997', 'NM_001243392', 'NM_016615']",SLC6A13,solute carrier family 6 member 13,Homo sapiens
2368,6539,"['NM_001122847', 'NM_001122848', 'NM_001206931', 'NM_003044']",SLC6A12,solute carrier family 6 member 12,Homo sapiens
2369,54659,['NM_019093'],UGT1A3,UDP glucuronosyltransferase family 1 member A3,Homo sapiens
2370,140,"['NM_000677', 'NM_001302678', 'NM_001302679']",ADORA3,adenosine A3 receptor,Homo sapiens
2371,28234,"['NM_001349920', 'NM_019844']",SLCO1B3,solute carrier organic anion transporter family member 1B3,Homo sapiens
2372,3363,"['NM_000872', 'NM_019859', 'NM_019860']",HTR7,5-hydroxytryptamine receptor 7,Homo sapiens
2373,766,"['NM_001014435', 'NM_001365337', 'NM_005182']",CA7,carbonic anhydrase 7,Homo sapiens
2374,8685,['NM_006770'],MARCO,macrophage receptor with collagenous structure,Homo sapiens
2375,259307,"['NM_001258017', 'NM_001258018', 'NM_001385639', 'NM_152899', 'NM_172374']",IL4I1,interleukin 4 induced 1,Homo sapiens
2376,3361,['NM_024012'],HTR5A,5-hydroxytryptamine receptor 5A,Homo sapiens
2377,3355,"['NM_000866', 'NM_001322208', 'NM_001322209', 'NM_001322210']",HTR1F,5-hydroxytryptamine receptor 1F,Homo sapiens
2378,6579,"['NM_001386878', 'NM_001386879', 'NM_001386880', 'NM_001386881', 'NM_001386882', 'NM_001386886', 'NM_001386887', 'NM_001386890', 'NM_001386908', 'NM_001386919', 'NM_001386920', 'NM_001386921', 'NM_001386922', 'NM_001386926', 'NM_001386927', 'NM_001386929', 'NM_001386931', 'NM_001386937', 'NM_001386938', 'NM_001386939', 'NM_001386940', 'NM_001386946', 'NM_001386947', 'NM_001386948', 'NM_001386949', 'NM_001386951', 'NM_001386952', 'NM_001386953', 'NM_001386954', 'NM_001386958', 'NM_001386959', 'NM_001386960', 'NM_001386961', 'NM_001386962', 'NM_001386963', 'NM_021094', 'NM_134431']",SLCO1A2,solute carrier organic anion transporter family member 1A2,Homo sapiens
2379,200959,['NM_001105580'],GABRR3,gamma-aminobutyric acid type A receptor subunit rho3,Homo sapiens
2380,2568,"['NM_001291985', 'NM_014211']",GABRP,gamma-aminobutyric acid type A receptor subunit pi,Homo sapiens
2381,765,"['NM_001215', 'NM_001270500', 'NM_001270501', 'NM_001270502']",CA6,carbonic anhydrase 6,Homo sapiens
2382,6580,"['NM_003057', 'NM_153187']",SLC22A1,solute carrier family 22 member 1,Homo sapiens
2383,9177,"['NM_001363563', 'NM_006028']",HTR3B,5-hydroxytryptamine receptor 3B,Homo sapiens
2384,6323,"['NM_001165963', 'NM_001165964', 'NM_001202435', 'NM_001353948', 'NM_001353949', 'NM_001353950', 'NM_001353951', 'NM_001353952', 'NM_001353954', 'NM_001353955', 'NM_001353957', 'NM_001353958', 'NM_001353960', 'NM_001353961', 'NM_006920']",SCN1A,sodium voltage-gated channel alpha subunit 1,Homo sapiens
2385,3776,"['NM_001017424', 'NM_001017425', 'NM_014217']",KCNK2,potassium two pore domain channel subfamily K member 2,Homo sapiens
2386,28919,[],IGKV2-30,immunoglobulin kappa variable 2-30,Homo sapiens
2387,3501,[],IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker),Homo sapiens
2388,151306,"['NM_001077191', 'NM_001077194', 'NM_001321950', 'NM_170699']",GPBAR1,G protein-coupled bile acid receptor 1,Homo sapiens
2389,9376,"['NM_001184732', 'NM_001184733', 'NM_001184736', 'NM_004254']",SLC22A8,solute carrier family 22 member 8,Homo sapiens
2390,338442,['NM_177551'],HCAR2,hydroxycarboxylic acid receptor 2,Homo sapiens
